Id,Name,Icon,Level require,SubType,Rarity,Description,Max size,Attack,AttackSpeed,ArmorPenetration,CriticalRate,CriticalDamage,Health,HealthRegen,Armor,Mana,ManaRegen,MoveSpeed
1,Wooden sword,001,1,0,0,Wooden sword,1,20,3,20,3,30,200,15,20,10,2,3
2,Wooden sword,001,1,0,1,Wooden sword,1,20,3,20,3,30,200,15,20,10,2,3
3,Wooden sword,001,1,0,2,Wooden sword,1,20,3,20,3,30,200,15,20,10,2,3
4,Wooden sword,001,1,0,3,Wooden sword,1,20,3,20,3,30,200,15,20,10,2,3
5,Wooden sword,001,1,0,4,Wooden sword,1,20,3,20,3,30,200,15,20,10,2,3
6,Iron sword,012,5,0,0,Iron sword,1,40,6,40,6,60,400,30,40,20,4,6
7,Iron sword,012,5,0,1,Iron sword,1,40,6,40,6,60,400,30,40,20,4,6
8,Iron sword,012,5,0,2,Iron sword,1,40,6,40,6,60,400,30,40,20,4,6
9,Iron sword,012,5,0,3,Iron sword,1,40,6,40,6,60,400,30,40,20,4,6
10,Iron sword,012,5,0,4,Iron sword,1,40,6,40,6,60,400,30,40,20,4,6
11,Wooden shield,003,1,1,0,Wooden shield,1,20,3,20,3,30,200,15,20,10,2,3
12,Wooden shield,003,1,1,1,Wooden shield,1,20,3,20,3,30,200,15,20,10,2,3
13,Wooden shield,003,1,1,2,Wooden shield,1,20,3,20,3,30,200,15,20,10,2,3
14,Wooden shield,003,1,1,3,Wooden shield,1,20,3,20,3,30,200,15,20,10,2,3
15,Wooden shield,003,1,1,4,Wooden shield,1,20,3,20,3,30,200,15,20,10,2,3
16,Iron shield,004,5,1,0,Iron shield,1,40,6,40,6,60,400,30,40,20,4,6
17,Iron shield,004,5,1,1,Iron shield,1,40,6,40,6,60,400,30,40,20,4,6
18,Iron shield,004,5,1,2,Iron shield,1,40,6,40,6,60,400,30,40,20,4,6
19,Iron shield,004,5,1,3,Iron shield,1,40,6,40,6,60,400,30,40,20,4,6
20,Iron shield,004,5,1,4,Iron shield,1,40,6,40,6,60,400,30,40,20,4,6
21,Leather gauntlet,025,1,2,0,Leather gauntlet,1,20,3,20,3,30,200,15,20,10,2,3
22,Leather gauntlet,025,1,2,1,Leather gauntlet,1,20,3,20,3,30,200,15,20,10,2,3
23,Leather gauntlet,025,1,2,2,Leather gauntlet,1,20,3,20,3,30,200,15,20,10,2,3
24,Leather gauntlet,025,1,2,3,Leather gauntlet,1,20,3,20,3,30,200,15,20,10,2,3
25,Leather gauntlet,025,1,2,4,Leather gauntlet,1,20,3,20,3,30,200,15,20,10,2,3
26,Iron gauntlet,026,1,2,0,Iron gauntlet,1,40,6,40,6,60,400,30,40,20,4,6
27,Iron gauntlet,026,1,2,1,Iron gauntlet,1,40,6,40,6,60,400,30,40,20,4,6
28,Iron gauntlet,026,1,2,2,Iron gauntlet,1,40,6,40,6,60,400,30,40,20,4,6
29,Iron gauntlet,026,1,2,3,Iron gauntlet,1,40,6,40,6,60,400,30,40,20,4,6
30,Iron gauntlet,026,1,2,4,Iron gauntlet,1,40,6,40,6,60,400,30,40,20,4,6
31,Leather boots,027,5,3,0,Leather boots,1,20,3,20,3,30,200,15,20,10,2,3
32,Leather boots,027,5,3,1,Leather boots,1,20,3,20,3,30,200,15,20,10,2,3
33,Leather boots,027,5,3,2,Leather boots,1,20,3,20,3,30,200,15,20,10,2,3
34,Leather boots,027,5,3,3,Leather boots,1,20,3,20,3,30,200,15,20,10,2,3
35,Leather boots,027,5,3,4,Leather boots,1,20,3,20,3,30,200,15,20,10,2,3
36,Iron boots,028,1,3,0,Iron boots,1,40,6,40,6,60,400,30,40,20,4,6
37,Iron boots,028,1,3,1,Iron boots,1,40,6,40,6,60,400,30,40,20,4,6
38,Iron boots,028,1,3,2,Iron boots,1,40,6,40,6,60,400,30,40,20,4,6
39,Iron boots,028,1,3,3,Iron boots,1,40,6,40,6,60,400,30,40,20,4,6
40,Iron boots,028,1,3,4,Iron boots,1,40,6,40,6,60,400,30,40,20,4,6
41,Leather chestplate,017,5,4,0,Leather chestplate,1,20,3,20,3,30,200,15,20,10,2,3
42,Leather chestplate,017,5,4,1,Leather chestplate,1,20,3,20,3,30,200,15,20,10,2,3
43,Leather chestplate,017,5,4,2,Leather chestplate,1,20,3,20,3,30,200,15,20,10,2,3
44,Leather chestplate,017,5,4,3,Leather chestplate,1,20,3,20,3,30,200,15,20,10,2,3
45,Leather chestplate,017,5,4,4,Leather chestplate,1,20,3,20,3,30,200,15,20,10,2,3
46,Iron chestplate,015,1,4,0,Iron chestplate,1,40,6,40,6,60,400,30,40,20,4,6
47,Iron chestplate,015,1,4,1,Iron chestplate,1,40,6,40,6,60,400,30,40,20,4,6
48,Iron chestplate,015,1,4,2,Iron chestplate,1,40,6,40,6,60,400,30,40,20,4,6
49,Iron chestplate,015,1,4,3,Iron chestplate,1,40,6,40,6,60,400,30,40,20,4,6
50,Iron chestplate,015,1,4,4,Iron chestplate,1,40,6,40,6,60,400,30,40,20,4,6
51,Leather pants,021,1,5,0,Leather pants,1,20,3,20,3,30,200,15,20,10,2,3
52,Leather pants,021,1,5,1,Leather pants,1,20,3,20,3,30,200,15,20,10,2,3
53,Leather pants,021,1,5,2,Leather pants,1,20,3,20,3,30,200,15,20,10,2,3
54,Leather pants,021,1,5,3,Leather pants,1,20,3,20,3,30,200,15,20,10,2,3
55,Leather pants,021,1,5,4,Leather pants,1,20,3,20,3,30,200,15,20,10,2,3
56,Fabric pants,022,5,5,0,Fabric pants,1,40,6,40,6,60,400,30,40,20,4,6
57,Fabric pants,022,5,5,1,Fabric pants,1,40,6,40,6,60,400,30,40,20,4,6
58,Fabric pants,022,5,5,2,Fabric pants,1,40,6,40,6,60,400,30,40,20,4,6
59,Fabric pants,022,5,5,3,Fabric pants,1,40,6,40,6,60,400,30,40,20,4,6
60,Fabric pants,022,5,5,4,Fabric pants,1,40,6,40,6,60,400,30,40,20,4,6
61,Leather helmet,013,1,6,0,Leather helmet,1,20,3,20,3,30,200,15,20,10,2,3
62,Leather helmet,013,1,6,1,Leather helmet,1,20,3,20,3,30,200,15,20,10,2,3
63,Leather helmet,013,1,6,2,Leather helmet,1,20,3,20,3,30,200,15,20,10,2,3
64,Leather helmet,013,1,6,3,Leather helmet,1,20,3,20,3,30,200,15,20,10,2,3
65,Leather helmet,013,1,6,4,Leather helmet,1,20,3,20,3,30,200,15,20,10,2,3
66,Iron helmet,011,5,6,0,Iron helmet,1,40,6,40,6,60,400,30,40,20,4,6
67,Iron helmet,011,5,6,1,Iron helmet,1,40,6,40,6,60,400,30,40,20,4,6
68,Iron helmet,011,5,6,2,Iron helmet,1,40,6,40,6,60,400,30,40,20,4,6
69,Iron helmet,011,5,6,3,Iron helmet,1,40,6,40,6,60,400,30,40,20,4,6
70,Iron helmet,011,5,6,4,Iron helmet,1,40,6,40,6,60,400,30,40,20,4,6
71,Gold ring,029,1,7,0,Gold ring,1,20,3,20,3,30,200,15,20,10,2,3
72,Gold ring,029,1,7,1,Gold ring,1,20,3,20,3,30,200,15,20,10,2,3
73,Gold ring,029,1,7,2,Gold ring,1,20,3,20,3,30,200,15,20,10,2,3
74,Gold ring,029,1,7,3,Gold ring,1,20,3,20,3,30,200,15,20,10,2,3
75,Gold ring,029,1,7,4,Gold ring,1,20,3,20,3,30,200,15,20,10,2,3
76,Diamond ring,030,5,7,0,Diamond ring,1,40,6,40,6,60,400,30,40,20,4,6
77,Diamond ring,030,5,7,1,Diamond ring,1,40,6,40,6,60,400,30,40,20,4,6
78,Diamond ring,030,5,7,2,Diamond ring,1,40,6,40,6,60,400,30,40,20,4,6
79,Diamond ring,030,5,7,3,Diamond ring,1,40,6,40,6,60,400,30,40,20,4,6
80,Diamond ring,030,5,7,4,Diamond ring,1,40,6,40,6,60,400,30,40,20,4,6
