Id,Name,Icon,Level require,SubType,Rarity,Description,Max size,Attack,AttackSpeed,ArmorPenetration,CriticalRate,CriticalDamage,Health,HealthRegen,Armor,Mana,ManaRegen,MoveSpeed,Duration
1,Apple,050,1,0,0,Apple,99,20,0,0,0,0,0,0,0,0,0,0,300
2,Apple,050,1,0,1,Apple,99,40,0,0,0,0,0,0,0,0,0,0,600
3,Apple,050,1,0,2,Apple,99,80,0,0,0,0,0,0,0,0,0,0,900
4,Apple,050,1,0,3,Apple,99,160,0,0,0,0,0,0,0,0,0,0,1200
5,Apple,050,1,0,4,Apple,99,320,0,0,0,0,0,0,0,0,0,0,1500
6,Strawbery,054,1,1,0,Strawbery,99,0,0,0,0,0,200,0,0,0,0,0,300
7,Strawbery,054,1,1,1,Strawbery,99,0,0,0,0,0,400,0,0,0,0,0,600
8,Strawbery,054,1,1,2,Strawbery,99,0,0,0,0,0,800,0,0,0,0,0,900
9,Strawbery,054,1,1,3,Strawbery,99,0,0,0,0,0,1600,0,0,0,0,0,1200
10,Strawbery,054,1,1,4,Strawbery,99,0,0,0,0,0,3200,0,0,0,0,0,1500
11,Lemon,053,1,2,0,Lemon,99,0,0,0,0,0,0,0,0,0,0,5,300
12,Lemon,053,1,2,1,Lemon,99,0,0,0,0,0,0,0,0,0,0,10,600
13,Lemon,053,1,2,2,Lemon,99,0,0,0,0,0,0,0,0,0,0,15,900
14,Lemon,053,1,2,3,Lemon,99,0,0,0,0,0,0,0,0,0,0,20,1200
15,Lemon,053,1,2,4,Lemon,99,0,0,0,0,0,0,0,0,0,0,25,1500
16,Grape,055,1,3,0,Grape,99,0,0,20,0,0,0,0,0,0,0,0,300
17,Grape,055,1,3,1,Grape,99,0,0,40,0,0,0,0,0,0,0,0,600
18,Grape,055,1,3,2,Grape,99,0,0,80,0,0,0,0,0,0,0,0,900
19,Grape,055,1,3,3,Grape,99,0,0,160,0,0,0,0,0,0,0,0,1200
20,Grape,055,1,3,4,Grape,99,0,0,320,0,0,0,0,0,0,0,0,1500
21,Pear,052,1,4,0,Pear,99,0,0,0,0,0,0,0,20,0,0,0,300
22,Pear,052,1,4,1,Pear,99,0,0,0,0,0,0,0,40,0,0,0,600
23,Pear,052,1,4,2,Pear,99,0,0,0,0,0,0,0,80,0,0,0,900
24,Pear,052,1,4,3,Pear,99,0,0,0,0,0,0,0,160,0,0,0,1200
25,Pear,052,1,4,4,Pear,99,0,0,0,0,0,0,0,320,0,0,0,1500
26,Chili,062,1,5,0,Chili,99,0,5,0,0,0,0,0,0,0,0,0,300
27,Chili,062,1,5,1,Chili,99,0,10,0,0,0,0,0,0,0,0,0,600
28,Chili,062,1,5,2,Chili,99,0,15,0,0,0,0,0,0,0,0,0,900
29,Chili,062,1,5,3,Chili,99,0,20,0,0,0,0,0,0,0,0,0,1200
30,Chili,062,1,5,4,Chili,99,0,25,0,0,0,0,0,0,0,0,0,1500
