Id,Name,Icon,Level require,SubType,Rarity,Description,Max size,Health,Mana,Cooldown
1,Health flask,035,1,0,0,Health flask,99,100,0,15
2,Health flask,035,1,0,1,Health flask,99,350,0,15
3,Health flask,035,1,0,2,Health flask,99,1000,0,15
4,Health flask,035,1,0,3,Health flask,99,2500,0,15
5,Health flask,035,1,0,4,Health flask,99,6500,0,15
6,Mana flask,036,1,1,0,Mana flask,99,0,30,15
7,Mana flask,036,1,1,1,Mana flask,99,0,50,15
8,Mana flask,036,1,1,2,Mana flask,99,0,70,15
9,Mana flask,036,1,1,3,Mana flask,99,0,90,15
10,Mana flask,036,1,1,4,Mana flask,99,0,110,15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
